GMA,zone,n,pct_excl,median_sp,p10,p90,p90p10,p_iqr,cod,median_ratio,log_median_sp
A333,A,105,0.4095238095238095,30000,9442.4,90600.00000000001,9.5950182157078725,1.2166666666666666,48.40392914961112,0.9703703703703704,10.308952660644293
A3C1,A,40,0.55,65000,19200.000000000004,150000,7.812499999999998,0.9423076923076923,53.116187237835135,1.1732512315270935,11.082142548877775
A411,A,173,0.4393063583815029,47000,15200,124120.00000000006,8.165789473684214,1.3021276595744682,42.87689595337121,1.220181383296791,10.757902880692196
A412,A,249,0.46586345381526106,32500,9620,84900,8.825363825363825,1.1076923076923078,40.85642868202295,1.3618181818181818,10.388995368317829
A413,A,119,0.48739495798319327,25000,7900,70000,8.860759493670885,1.49,40.250387493103055,1.3342857142857143,10.126631103850338
A414,A,68,0.5588235294117647,24250,2700,65800.00000000003,24.37037037037038,1.4845360824742269,38.698522518632785,1.4111111111111112,10.096171896365629
A415,A,152,0.5263157894736842,30000,9000,84900,9.433333333333334,1.0958333333333334,44.48111692427044,1.2592592592592593,10.308952660644293
A416,A,234,0.49572649572649574,23000,5150,62850.000000000015,12.203883495145634,1.2771739130434783,40.013328903465904,1.1833333333333331,10.043249494911286
A421,A,254,0.468503937007874,30459.5,8500,104700.00000000001,12.317647058823532,1.373955580360807,44.089540613630035,1.2362522522522523,10.324153211343972
A422,A,49,0.4897959183673469,30000,8000,60544.000000000015,7.568000000000001,0.8083333333333333,46.457924314990635,1.2140669014084506,10.308952660644293
A423,A,252,0.5238095238095238,25000,6795.700000000001,66350.00000000001,9.763526936150802,1,43.51094023280749,1.2285714285714286,10.126631103850338
A424,A,25,0.6,20000,6200.000000000001,93968.00000000003,15.156129032258066,2.4,43.186430289171334,1.391304347826087,9.903487552536127
A431,A,36,0.5,21000,6562.280000000001,77500,11.809919723023095,0.9880952380952381,69.88076997595637,0.6986607142857143,9.95227771670556
A432,A,145,0.41379310344827586,175000,42000,360999.99999999994,8.595238095238093,1.0857142857142856,50.59797443727397,0.6035544430538173,12.072541252905651
A433,A,107,0.4672897196261682,55000,9800,255800,26.102040816326532,2.1818181818181817,57.2481790834896,0.788,10.915088464214607
A511,A,181,0.08287292817679558,430000,242000,620000,2.56198347107438,0.46511627906976744,26.22683224885716,0.8170175438596491,12.971540487669746
A512,A,86,0.20930232558139536,294750,146750,460000,3.13458262350937,0.6573367260390162,41.20754964921756,0.7924528301886793,12.593882818399617
A513,A,92,0.11956521739130435,271500,125000,374150.00000000006,2.9932000000000003,0.5722836095764272,35.47645107104479,0.8276470588235294,12.511717418356127
A514,A,183,0.2896174863387978,140329,38200,300780,7.873821989528796,0.9445659842227907,44.68103022605461,0.946524064171123,11.851744944659789
A515,A,327,0.37003058103975534,58005,19600,137100.00000000006,6.994897959183676,0.9268166537367468,43.29416696785764,1.1555399061032863,10.968284492709508
A516,A,241,0.3817427385892116,50500,20000,135000,6.75,1.3564356435643565,48.18845094532465,1.1388888888888888,10.829728615263452
A517,A,217,0.3548387096774194,130000,50000,297000,5.94,0.965394076923077,60.477647414928605,0.6828260869565217,11.77528972943772
A518,A,156,0.40384615384615385,40000,20600,136250,6.614077669902913,1.23125,48.696749094828014,1.2615736248372231,10.596634733096073
A519,A,143,0.42657342657342656,38697.6,15020,102200.00000000001,6.8042609853528635,1.0465765318779459,41.802801146206185,1.2925506072874495,10.563532861590957
A521,A,234,0.3504273504273504,47750,15650,119000,7.603833865814696,1.0821989528795812,48.0368034290961,0.9556634811217296,10.773734345908876
A522,A,484,0.36983471074380164,47500,17000,119629.99999999999,7.037058823529411,1.0526315789473684,42.42174469006345,1.1986666666666665,10.768484990022733
A5C1,A,48,0.5416666666666666,75000,22350,245500.00000000017,10.984340044742737,1.4,78.81699021717449,0.6518098360655737,11.225243392518447
A5C2,A,29,0.5517241379310345,91800,26000,379999.9999999997,14.615384615384604,1.8736383442265796,72.05189807938385,0.787968253968254,11.427367576608582
A612,A,138,0.21739130434782608,400850,184000.00000000003,774687.5,4.210258152173912,0.5728452039416241,34.05255834403276,0.7344139650872819,12.901342571471098
A613,A,54,0.12962962962962962,488750,300300,1387750.000000002,4.621212121212128,0.4925831202046036,24.015417625993127,0.689292735042735,13.099606390281712
A621,A,180,0.25,292000,89900,700999.9999999999,7.797552836484982,0.9247003424657534,46.26359492283195,0.7898360655737705,12.584509081250419
A622,A,210,0.3142857142857143,130000,18950,425400,22.448548812664907,1.4173076923076924,58.25676819951178,0.7514285714285714,11.77528972943772
B112,B,109,0.42201834862385323,40000,12200.000000000002,140700.00000000006,11.532786885245905,1.21149625,54.14880656224283,0.917639344262295,10.596634733096073
B113,B,148,0.38513513513513514,50000,12850.000000000002,167500.0000000003,13.03501945525294,1.4775,56.9269064446325,0.7654320987654321,10.819778284410283
B114,B,201,0.5124378109452736,24000,5000,75000,15,1.5416666666666667,46.59888389551912,1.2466666666666666,10.085809109330082
B115,B,218,0.41743119266055045,30000,8967.6,72893.00000000003,8.12848476738481,1.153725,39.73743237418322,1.2049583333333334,10.308952660644293
B116,B,169,0.31952662721893493,35000,12000,90000,7.5,1.2285714285714286,42.5396450472067,1.1007246376811597,10.46310334047155
B117,B,53,0.5471698113207547,26000,5200,88200.00000000001,16.961538461538463,1.0384615384615385,49.17739210788409,1.197142857142857,10.165851817003619
B118,B,50,0.52,112450,24844.199999999997,357876,14.404810780785859,1.318363717207648,63.662604071524825,0.5309422750424448,11.630263957387461
B119,B,94,0.48936170212765956,70750,18150,217850,12.002754820936639,1.469964664310954,57.11896569183244,0.68,11.166907815505484
B121,B,63,0.4444444444444444,40000,11100,98200.00000000001,8.846846846846848,1.28125,52.70856892564007,1.007070707070707,10.596634733096073
B122,B,91,0.38461538461538464,35000,9000,84000,9.333333333333334,0.9442857142857143,40.857048396035424,1.2141879393266741,10.46310334047155
B123,B,217,0.5207373271889401,25000,6503,75800,11.656158695986468,1.18,37.10221334636784,1.5055555555555555,10.126631103850338
B131,B,59,0.3728813559322034,33500,13000,76600,5.892307692307693,1.0298507462686568,29.531985881428028,1.4693749999999999,10.419300717813158
B132,B,42,0.16666666666666666,18750,12000,37000,3.0833333333333335,0.54,30.570570128842657,1.1771794871794872,9.838949031398556
B141,B,130,0.1,325000,148570.1,550000,3.7019561809543102,0.5788461538461539,36.14409460492128,0.7595348837209303,12.691580461311874
B1i1,B,29,0.5862068965517241,1690000,285000,8934999.999999996,31.350877192982445,2.2189349112426036,95.20184356274429,0.563323730280782,14.340239086899256
B211,B,355,0.504225352112676,30000,9467.199999999999,79540.00000000003,8.4016393442623,1.3833333333333333,37.717144723680256,1.3622377622377622,10.308952660644293
B212,B,59,0.23728813559322035,65000,30000,106640,3.554666666666667,0.7238461538461538,41.95772834233241,1.1043478260869566,11.082142548877775
B213,B,50,0.54,40000,8900,80200,9.01123595505618,1.28125,44.0233167262362,1.088,10.596634733096073
B231,B,234,0.3333333333333333,36000,14000,80863.5,5.775964285714286,0.9972222222222222,37.81920051987977,1.305,10.491274217438248
B232,B,357,0.33613445378151263,39900,20000,88760.00000000006,4.438000000000003,0.9147869674185464,35.42437867992786,1.3808571428571428,10.594131602877955
B233,B,97,0.1134020618556701,95000,53400.00000000001,148060,2.772659176029962,0.5778947368421052,33.37945241746224,0.9485227272727272,11.461632170582678
B234,B,156,0.14743589743589744,123000,44255.4,175000,3.9543196988390115,0.6727642276422764,31.83792759935667,0.9611428571428572,11.719939634354555
B235,B,165,0.4303030303030303,42000,21200,116199.99999999999,5.481132075471697,1.0714285714285714,47.71510265644991,1.207142857142857,10.645424897265505
B331,B,117,0.15384615384615385,105000,39000.00000000001,151000,3.871794871794871,0.6047619047619047,36.91885780756586,0.8245454545454546,11.56171562913966
B332,B,88,0.10227272727272728,124500,67100,163000,2.429210134128167,0.5020080321285141,33.11251955541965,0.8866197183098592,11.732060994886899
B333,B,20,0.3,66450,15000,129200.00000000006,8.613333333333337,1.008273137697517,49.37386775326289,1.0542894796052844,11.104205064141391
B334,B,41,0.04878048780487805,135000,89000,164900,1.8528089887640449,0.31851851851851853,22.795549942952004,0.7614814814814815,11.813030057420567
B335,B,33,0.06060606060606061,150000,95201.4,204700,2.1501784637620878,0.2733333333333333,36.70970450278864,0.8360655737704918,11.918390573078392
C311,C,162,0.06172839506172839,129950,80550,160950,1.9981378026070764,0.4034243939976914,25.295577528585888,0.950691323155455,11.774905040069637
C312,C,76,0.06578947368421052,126500,62125,221500,3.5653923541247483,0.8345849802371541,32.27972588602734,1.015015015015015,11.747997587149712
C313,C,38,0.3684210526315789,106750,29344.8,224430.00000000006,7.6480330416291835,1.0281030444964872,37.111955534913754,1,11.578244931090872
C321,C,28,0.07142857142857142,270000,132000,4282750.000000004,32.445075757575786,1.3819444444444444,16.639164701403324,0.829472049689441,12.506177237980511
C331,C,196,0.025510204081632654,174900,128500,205000,1.595330739299611,0.2094053744997141,15.415495263025656,1.0054545454545454,12.071969661006694
C332,C,232,0.05603448275862069,180000,131550,225900,1.717217787913341,0.24722222222222223,19.49646509854402,0.9786758354926584,12.100712129872347
C333,C,44,0.022727272727272728,282000,201500,349700,1.735483870967742,0.3173758865248227,11.130856394885006,0.8953488372093024,12.54966234992025
C341,C,154,0.05194805194805195,157500,105000,189900,1.8085714285714285,0.2544444444444444,20.32810351529616,0.9865591397849462,11.967180737247824
C342,C,271,0.025830258302583026,165000,106000,230000,2.169811320754717,0.36666666666666664,24.61278183121517,0.9586206896551724,12.013700752882718
C343,C,191,0.03664921465968586,175000,125000,215000,1.72,0.2257142857142857,18.750340866517522,0.9787114845938376,12.072541252905651
C344,C,86,0.023255813953488372,200000,147500,272500,1.847457627118644,0.263375,17.718469439006803,1.0046755237608584,12.206072645530174
C345,C,63,0.047619047619047616,195000,149600,227000,1.517379679144385,0.2230769230769231,13.79743296366031,0.9790062241281753,12.180754837545884
C351,C,56,0,193500,151250,224950,1.4872727272727273,0.20155038759689922,12.191121973758392,0.9480717405913979,12.173032791451973
C352,C,44,0.09090909090909091,263250,187900,402750,2.143427354976051,0.5052231718898386,19.45507784580264,0.9697835851367904,12.480859429996222
C353,C,38,0.15789473684210525,228950,156260,321550.0000000001,2.0577883015487015,0.3825070976195676,23.62881633886456,0.9737851308320643,12.341258918085241
C354,C,50,0.12,193250,140600,261800.00000000003,1.8620199146514937,0.2813673997412678,21.883860234591708,0.9310914388166741,12.17173996644967
C362,C,35,0.08571428571428572,199000,85000,274959.4,3.2348164705882354,0.40703517587939697,25.44089007616062,0.931063829787234,12.201060103706629
C372,C,31,0,151000,120000,175000,1.4583333333333333,0.17218543046357615,13.674655066534624,0.775,11.925035115797062
C411,C,182,0.01098901098901099,175000,138999.2,219800,1.581304065059367,0.26085714285714284,12.792112958952112,0.972687898089172,12.072541252905651
C413,C,186,0.043010752688172046,176000,115000,207000,1.8,0.2393465909090909,17.83002056899578,0.9684491978609626,12.078239274020289
C414,C,38,0.05263157894736842,179383,111700,208250.00000000003,1.8643688451208598,0.31176309906735866,19.27177597271547,0.9664971458502588,12.097278463804638
C415,C,81,0.037037037037037035,195000,141000,223000,1.5815602836879432,0.1841025641025641,18.35150746616618,0.902,12.180754837545884
C416,C,40,0.075,221650,147200,415000,2.8192934782608696,0.6665903451387323,22.40465793292123,0.9668108991163923,12.308854840173199
C417,C,30,0.13333333333333333,202500,128900,227050,1.76144297905353,0.1962962962962963,16.626922167425374,0.9262450730350105,12.218495165528731
C421,C,227,0.04405286343612335,180000,114187.988,228700,2.00283763647714,0.3433333333333333,17.87036474657134,0.9593939393939394,12.100712129872347
C422,C,36,0.027777777777777776,273950,226000,335500,1.4845132743362832,0.16608870231794123,16.213525158334928,0.9193473792394655,12.520700886966562
C423,C,130,0.023076923076923078,190000,136800,230000,1.6812865497076024,0.2553947368421053,14.435658693671108,1,12.154779351142624
C424,C,62,0.03225806451612903,169450,125500,194990,1.5537051792828684,0.23384479197403363,15.428951751844314,1.0087904191616766,12.040313177035197
C426,C,52,0.019230769230769232,189950,145490,227700,1.5650560175957111,0.26625427744143193,16.389624487216054,0.9633978226385933,12.154516158615772
C427,C,75,0.013333333333333334,185000,109400,220000,2.010968921389397,0.30504054054054053,22.76511875813844,0.9794444444444446,12.128111104060462
C428,C,100,0.04,177450,132050,222000,1.6811813706929193,0.2803606649760496,18.526973068505775,0.9965543859649123,12.086444158074643
C511,C,66,0.045454545454545456,209500,126250,252500,2,0.2730310262529833,22.123104670051447,0.9948837209302326,12.25247901834433
C512,C,93,0.03225806451612903,185000,135400,223600,1.6514032496307238,0.22594054054054055,18.75767183799398,0.9673785260670507,12.128111104060462
C521,C,321,0.037383177570093455,189900,140000,220000,1.5714285714285714,0.2211690363349131,17.240256236275297,0.9576719576719576,12.154252896800378
C522,C,197,0.04568527918781726,164000,100780,205000,2.0341337566977575,0.39634146341463417,24.38809027126042,1,12.007621706806335
C524,C,80,0,184950,131800,217300,1.6487101669195752,0.2622330359556637,18.035626600483347,0.8799668191717949,12.1278407972606
C525,C,111,0.018018018018018018,185000,114000,221000,1.9385964912280702,0.27297297297297296,21.888529323577625,0.9234972677595628,12.128111104060462
C611,C,143,0.02097902097902098,215000,150300,264500.00000000006,1.7598137059214907,0.3488372093023256,18.774554208310846,0.928780487804878,12.2783933071098
C612,C,53,0,185000,150000,215000,1.4333333333333333,0.21621621621621623,13.189914579891823,0.978125,12.128111104060462
C613,C,69,0.043478260869565216,180000,139000,226000,1.6258992805755397,0.19444444444444445,15.063241325419527,0.9858542471042471,12.100712129872347
C621,C,80,0.025,229500,180064.5,255500.00000000003,1.4189359923805083,0.1895424836601307,14.26936139347931,0.9527302069489273,12.343658308482738
C622,C,51,0.0196078431372549,198000,150200,239000,1.5912117177097205,0.26515151515151514,13.712272032930741,1,12.196022309676673
C623,C,49,0,200000,149400,255200,1.7081659973226238,0.25,16.33634619842189,1,12.206072645530174
C624,C,47,0.02127659574468085,270000,186200,328760,1.7656283566058002,0.24074074074074073,13.93978562603885,0.9811076810413943,12.506177237980511
C631,C,63,0.047619047619047616,235000,169200,294000,1.7375886524822695,0.2423404255319149,17.006579318353936,0.9565055762081784,12.367340793126296
C632,C,57,0,230000,178000,271000,1.5224719101123596,0.22608695652173913,13.016637382308984,0.9733333333333334,12.345834587905333
C633,C,34,0,190750,143000,224100,1.567132867132867,0.19855832241153343,14.665451288375829,0.9871051640540414,12.158718949146703
C635,C,29,0,225000,155000,246100,1.5877419354838709,0.25377777777777777,12.150473908998686,1,12.323855681186558
C641,C,64,0,238700,158300,290000,1.831964624131396,0.24036447423544197,12.478762504810318,0.9850615841536539,12.382962812326921
C642,C,34,0.14705882352941177,199000,126700,398430,3.144672454617206,0.4920854271356784,27.220209609536,0.9264705882352942,12.201060103706629
