term,estimate,se_hc1,se_tract_only,se_quarter_only,se_two_way
time,-0.00598749780902412,8.160348361284744e-4,0.0012148480612086264,0.0012151747474539124,0.0015128541402794733
post_2019,-0.0616068506619184,0.011265063783931927,0.01367015303172113,0.015835575925260966,0.017553100590987622
time_since_2019,0.005322167897539032,0.0011152510690159091,0.00147714325545405,0.0018067765829889314,0.0020447281061053203
post_2023,-0.034046067204042574,0.010715211420735516,0.009938956769196578,0.015369974498701342,0.014707528128128148
time_since_2023,0.0033910019068775776,0.0020429527898814053,0.0017631658243839844,0.0018715589478507867,0.0015692423314796397
post_2025,-0.044671630247615446,0.015362511427306364,0.013786134961517541,0.007730016513801784,0.004260307958694827
time_since_2025,0.0031982554262161254,0.00880595173151008,0.007839557382215385,0.0033398138442704167,0.0017568951185537491
