term,estimate,recommended_se_method,recommended_se,t_statistic,p_value
time,-0.00598749780902412,two_way,0.0015128541402794733,-3.957749560653636,9.405135591236941e-5
post_2019,-0.0616068506619184,two_way,0.017553100590987622,-3.509741788499151,5.157109368092745e-4
time_since_2019,0.005322167897539032,two_way,0.0020447281061053203,2.602873155432088,0.009693401712470793
post_2023,-0.034046067204042574,two_way,0.014707528128128148,-2.3148735061012373,0.021279236357071362
time_since_2023,0.0033910019068775776,two_way,0.0015692423314796397,2.1609166658665138,0.031474898062492054
post_2025,-0.044671630247615446,tract_only,0.013786134961517541,-3.2403302573427086,0.00132495907666989
time_since_2025,0.0031982554262161254,tract_only,0.007839557382215385,0.4079637752855288,0.6835846371164604
