term,estimate,std.error,statistic,p.value,conf.low,conf.high
time,-0.00598749780902412,0.0015128541402794733,-3.957749560653636,2.544178176482244e-4,-0.00903096777438815,-0.00294402784366009
post_2019,-0.0616068506619184,0.017553100590987622,-3.509741788499151,0.0010004743521033978,-0.09691913426238208,-0.026294567061454714
time_since_2019,0.005322167897539032,0.0020447281061053203,2.602873155432088,0.012329830475162522,0.0012087055269250245,0.009435630268153038
post_2023,-0.034046067204042574,0.014707528128128148,-2.3148735061012373,0.02503663370282842,-0.06363379739621808,-0.0044583370118670765
time_since_2023,0.0033910019068775776,0.0015692423314796397,2.1609166658665138,0.03583023816106379,2.3409353278023215e-4,0.006547910280974923
post_2025,-0.044671630247615446,0.004260307958694827,-10.485540172382489,6.780880581809899e-14,-0.05324226436908719,-0.0361009961261437
time_since_2025,0.0031982554262161254,0.0017568951185537491,1.8204020219766355,0.07506844571844304,-3.3616166215251096e-4,0.006732672514584762
