year,n,median_ratio,cod,prd,prb
2014,15075,1.032540675844806,44.33701117635157,1.356065662744055,-0.14517982950867223
2015,17231,1,41.23885453946889,1.3485411379104277,-0.15481975830192266
2016,19857,0.9322834645669292,38.44638031788317,1.2787976852705127,-0.1227991410068833
2017,22079,0.8385786802030457,35.90847057851716,1.2307331575886156,-0.08509738599769233
2018,23858,0.7693785622357051,34.55399363810481,1.1081310177189914,-0.026151476641520767
2019,23568,0.789263775971093,30.986899365809847,2.105503776261122,-0.010400816017532708
2020,17228,0.772,30.426149384217567,1.087149547056806,0.005137502616624376
2021,22861,0.6872909698996655,30.369254389850823,1.0792850612693765,0.0333302558722116
2022,21815,0.6638783269961978,31.387226986803075,1.0716774952503079,0.03750163949327015
2023,17459,0.8257777777777778,27.4998188575869,1.100026366283398,-0.024004521306129137
2024,17857,0.8132530120481928,27.909464602132097,1.05149559550695,-0.014595356611184095
2025,14124,0.9291122448979592,24.20230545708121,1.0960943063704651,-0.046314608529074215
